"Nr.","Typ","Phase","Baustatus","Bohrung","Passstück","Montage-Status","Abgelehnt","Module","Höhe (Soll)","Betriebs-ID","SP Status","Stapel","Pos","Stack bestellt","Stack geliefert","Vormontiert am","Primärkonstruktion montiert","Modulträger montiert","Kranstandorte nach Jahr","Bestellfristen","Birkhuhn","Planungszonen ILF","Bauphasen_STRABAG_260410"
"1165","A_2025","3","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1976.05","","2","5","5","25.7.2025","2.9.2025","—","27.8.2025","2.9.2025","27_7.3","","","PZ25 (#12)",""
"1166","A_2025","3","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1975.92","","2","5","6","25.7.2025","2.9.2025","—","27.8.2025","2.9.2025","27_7.3 · 27_7.2","","","PZ25 (#12)",""
"1167","A_2025","3","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1976.00","","2","5","7","25.7.2025","2.9.2025","—","29.8.2025","2.9.2025","27_7.3 · 27_7.2","","","PZ25 (#12)",""
"1172","E","26v-B02T02-TG","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","1975.61","TG.S-1-2","2","","","—","—","—","—","—","26_3.2 · 27_7.1 · 28_11.2","26_3.2 || 2026-06-18","","PZ1 (#1)","26_3.2"
"1194","A_2025","3","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1977.89","","2","13","1","25.7.2025","3.9.2025","—","30.7.2025","3.9.2025","27_7.3","","","PZ25 (#12)",""
"1202","E","26v-B02T02-TG","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","1977.94","TG.S-2-2","2","39","1","—","—","—","—","—","26_3.2 · 27_7.1 · 28_11.2","26_3.2 || 2026-06-18","","PZ1 (#1)","26_3.2"
"1209","C","26b-B03T09-TG","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","1977.67","TG.N-2-3","2","","","—","—","—","—","—","26_6.1/BP_B_10 · 26_6.2","26_6.2 || ","Schlussbauzone (#3)","PZ1 (#1)","26_6.2"
"1217","B_2025","4","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1980.38","","2","4","5","25.6.2025","22.7.2025","—","16.7.2025","2.9.2025","27_7.4","","","PZ25 (#12)",""
"1218","B_2025","4","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1979.47","","2","4","4","25.6.2025","22.7.2025","—","11.8.2025","19.8.2025","27_7.4","","","PZ25 (#12)",""
"1219","B_2025","4","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1979.61","","2","1","4","25.6.2025","12.8.2025","—","30.7.2025","2.9.2025","27_7.4","","","PZ25 (#12)",""
"1220","B_2025","3","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1979.43","","2","4","2","25.6.2025","22.7.2025","—","30.7.2025","15.8.2025","27_7.4","","","PZ25 (#12)",""
"1221","A_2025","3","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1978.44","","2","6","1","25.7.2025","9.9.2025","—","27.8.2025","9.9.2025","27_7.3","","","PZ25 (#12)",""
"1222","A_2025","3","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1980.29","","2","6","2","25.7.2025","9.9.2025","—","9.9.2025","9.9.2025","26_BP_B_7 · 27_7.3","","","PZ25 (#12)",""
"1223","A_2025","3","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1979.90","","2","6","9","25.7.2025","9.9.2025","—","16.9.2025","16.9.2025","26_BP_B_7 · 27_7.3","","","PZ25 (#12)",""
"1224","A_2025","3","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1979.71","","2","6","3","25.7.2025","9.9.2025","—","9.9.2025","9.9.2025","26_BP_B_7 · 27_7.3","","","PZ25 (#12)",""
"1235","B_KF2025","26b-B03T09-TG","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","1980.13","TG.N-3-4","2","","","—","—","—","—","—","26_6.1/BP_B_10 · 26_6.2","26_6.2 || ","Schlussbauzone (#3)","PZ1 (#1)","26_6.2"
"1251","B_KF2025","26b-B03T09-TG","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","1982.18","TG.N-4-3","2","","","—","—","—","—","—","26_6.1/BP_B_10 · 26_BP_B_9","26_6.1 || ","Schlussbauzone (#3)","PZ1 (#1)","26_6.1"
"1263","B_KF2025","26b-B03T09-TG","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","1984.09","TG.N-5-3","2","","","—","—","—","—","—","26_6.1/BP_B_10 · 26_BP_B_9","26_6.1 || ","Schlussbauzone (#3)","PZ1 (#1)","26_6.1"
"1270","B_KF2025","26v-B02T02-TG","Gebohrt","Gebohrt","Nicht berechnet","Nicht begonnen","","10","1985.56","TG.S-11-2","2","","","—","—","—","—","—","26_6.1/BP_B_10 · 26_3.1/1.4 · 26_BP_B_9","26_3.1 || 2026-06-12","","PZ1 (#1)","26_3.1"
"1274","C","26b-B03T09-TG","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","1986.20","TG.N-6-2","2","","","—","—","—","—","—","26_6.1/BP_B_10","26_6.1 || ","Schlussbauzone (#3)","PZ1 (#1)","26_6.1"
"1282","C","26b-B03T09-TG","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","1988.06","TG.N-7-3","2","","","—","—","—","—","—","26_6.1/BP_B_10 · 26_BP_B_9","26_6.1 || ","Schlussbauzone (#3)","PZ1 (#1)","26_6.1"
"1283","C","26b-B03T09-TG","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","1987.96","TG.N-7-1","2","","","—","—","—","—","—","26_6.1/BP_B_10","26_6.1 || ","Schlussbauzone (#3)","PZ1 (#1)","26_6.1"
"1291","C","26b-B03T09-TG","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","1979.85","TG.N-3-2","2","","","—","—","—","—","—","26_6.2","26_6.2 || ","Schlussbauzone (#3)","PZ1 (#1)","26_6.2"
"1380","B_2025","4","Modulträger montiert","Injiziert","Montiert","Modulträger montiert","","10","1974.90","","2","12","4","25.7.2025","8.8.2025","—","9.9.2025","9.9.2025","27_7.4","","","PZ25 (#12)",""
"1397","B","26v-B04T03-B5","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2020.90","C5-8-4","2","","","—","—","—","—","—","26_4.3 · 26_4.1","26_4.3 || 2026-08-06","","PZ2 (#3)","26_4.3"
"1398","B","26v-B04T03-B5","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2020.91","C5-8-3","2","","","—","—","—","—","—","26_4.3 · 26_4.1","26_4.3 || 2026-08-06","","PZ2 (#3)","26_4.3"
"1400","D","26v-B04T03-B5","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2019.47","B5.3-9-1","2","","","—","—","—","—","—","26_4.4 · 26_4.1 · 26_4.2","26_4.4 || 2026-08-17","","PZ2 (#3)","26_4.4"
"1401","C","26v-B04T03-B5","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","10","2017.69","B5.3-8-2","2","","","—","—","—","—","—","26_4.4 · 26_4.1 · 26_4.2","26_4.4 || 2026-08-17","","PZ2 (#3)","26_4.4"
"1408","C","26b-B03T09-TG","Geplant","Geplant","Nicht berechnet","Nicht begonnen","","8","1993.63","TG.N-14-1","2","","","—","—","—","—","—","26_6.1/BP_B_10 · 27_8.2","26_6.1 || ","Schlussbauzone (#3)","PZ1 (#1)","26_6.1"
